store_name,full_address,city,province,latitude,longitude,store_type,operating_hours,osm_id,osm_type
Alfamart,,Kota Bekasi,Jawa Barat,-6.266326,107.1056467,convenience,,895872214,node
Alfamart,,Batam,Kepulauan Riau,1.02849,104.06139,convenience,,903291214,node
Alfamart,,Bandung Barat,Jawa Barat,-6.8657497,107.574506,convenience,,1107474863,node
Alfamart,,Jakarta,DKI Jakarta,-6.3411492,106.8632015,convenience,,1349940924,node
Alfamart,,Depok,Jawa Barat,-6.3616013,106.8334152,convenience,,1538010827,node
Alfamart,,Kota Bekasi,Jawa Barat,-6.2850147,106.9186046,convenience,,1570451643,node
Alfamart,,Bandung,Jawa Barat,-6.8829441,107.5748793,convenience,Mo-Su 07:00-22:00,1666931592,node
Alfamart,,Jember,Jawa Timur,-8.168947,113.7111157,convenience,,1726204816,node
Alfamart,,Jember,Jawa Timur,-8.1895192,113.6868526,convenience,,1754634590,node
Alfamart,,Jember,Jawa Timur,-8.1917175,113.701122,convenience,,1754634593,node
Alfamart,,Sukabumi,Jawa Barat,-6.7808755,106.7827107,convenience,,1761301846,node
Alfamart,,Sidoarjo,Jawa Timur,-7.3648623,112.7336891,convenience,,1772681794,node
Alfamart,Jalan Bukit Menteng,Kabupaten Bogor,Jawa Barat,-6.4447236,107.0404986,convenience,Mo-Su 07:00-22:00,1783241419,node
Alfamart,,Kota Bogor,Jawa Barat,-6.6185199,106.8068886,convenience,,1784335309,node
Alfamart,,Depok,Jawa Barat,-6.3962229,106.8139787,convenience,,1839294534,node
Alfamart,,Depok,Jawa Barat,-6.3851022,106.852591,convenience,,1846437658,node
Alfamart,,Depok,Jawa Barat,-6.3867901,106.8491836,convenience,,1846437659,node
Alfamart,,Depok,Jawa Barat,-6.3723785,106.8463122,convenience,,1846516987,node
Alfamart,,Depok,Jawa Barat,-6.3680892,106.8342782,convenience,,1846989439,node
Alfamart,,Sleman,Yogyakarta,-7.7395333,110.3626564,convenience,,1847967404,node
Alfamart,,Sleman,Yogyakarta,-7.747459,110.362585,convenience,,1847988256,node
Alfamart,,Sleman,Yogyakarta,-7.7552723,110.3621776,convenience,,1848014568,node
Alfamart,,Semarang,Jawa Tengah,-7.1424119,110.4127715,convenience,,1873047376,node
Alfamart,,Semarang,Jawa Tengah,-7.1242409,110.4094835,convenience,,1884053527,node
Alfamart,Jalan Cipageran,Cimahi,Jawa Barat,-6.854351,107.5400417,convenience,,1896195314,node
Alfamart,,Salatiga,Jawa Tengah,-7.3192237,110.4986077,convenience,,1920070983,node
Alfamart,,Jember,Jawa Timur,-8.1729465,113.690399,convenience,,1933098208,node
Alfamart,,Jember,Jawa Timur,-8.1904487,113.6503124,convenience,,1969341683,node
Alfamart,,Kota Bekasi,Jawa Barat,-6.2532909,107.1725784,convenience,,1994664759,node
Alfamart,,Sukabumi,Jawa Barat,-6.783211,106.782028,convenience,,1999518935,node
Alfamart,,Depok,Jawa Barat,-6.4060969,106.7486817,convenience,,2027724619,node
Alfamart,,Makassar,Sulawesi Selatan,-5.132457,119.5013745,convenience,,2034855647,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1371897,119.5096913,convenience,24/7,2034855650,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1725324,119.4485548,convenience,Tu-Su 08:00-15:00;Sa 08:00-12:00,2035751184,node
Alfamart,,Makassar,Sulawesi Selatan,-5.117066,119.4333338,convenience,,2036285540,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1266803,119.4384275,convenience,,2036285579,node
Alfamart,,Banyumas,Jawa Tengah,-7.4054178,109.0755595,convenience,,2047459990,node
Alfamart,,Makassar,Sulawesi Selatan,-5.1780269,119.4366612,convenience,,2057800956,node
Alfamart,,Kota Bogor,Jawa Barat,-6.6907985,106.8452347,convenience,,2144101299,node
Alfamart,,Kota Bogor,Jawa Barat,-6.7018844,106.8316098,convenience,,2144101300,node
Alfamart,,Kota Bogor,Jawa Barat,-6.7434001,106.8037263,convenience,,2144101301,node
Alfamart,,Kota Bogor,Jawa Barat,-6.7471238,106.8015604,convenience,,2144101303,node
Alfamart,,Cilacap,Jawa Tengah,-7.5964203,109.1468207,convenience,,2147853039,node
Alfamart,,Jember,Jawa Timur,-8.1295735,113.8088509,convenience,,2153956387,node
Alfamart,,Kota Karawang,Jawa Barat,-6.309604,107.2926871,convenience,,2159201607,node
Alfamart,,Kota Bogor,Jawa Barat,-6.5474486,106.8058687,convenience,,2271402996,node
Alfamart,,Badung,Bali,-8.6719697,115.1718555,convenience,,2276393532,node
Alfamart,"JL. Raya Puncak - Cimacan, RT 004, RW 02, Palasari, Kec. Cipanas",Cianjur,Jawa Barat,-6.7200024,107.0319064,convenience,,2285856103,node
Alfamart,,Garut Kota,Jawa Barat,-7.2007992,107.8981368,convenience,,2312588263,node
Alfamart,,Jember,Jawa Timur,-8.1675492,113.7039176,convenience,,2316631233,node
Alfamart,,Tangerang Selatan,Banten,-6.262441,106.7220472,convenience,,2372285153,node
Alfamart,,Tangerang Selatan,Banten,-6.2626449,106.7317006,convenience,,2372285205,node
Alfamart,,Tangerang Selatan,Banten,-6.262505,106.7368583,convenience,,2372295452,node
Alfamart,,Deli Serdang,Sumatera Utara,3.515437,98.627325,convenience,,2375708364,node
Alfamart,,Ngawi,Jawa Timur,-7.4526478,111.5956455,convenience,,2389314596,node
Alfamart,,Ngawi,Jawa Timur,-7.4458951,111.5605408,convenience,,2389334755,node
Alfamart,,Semarang,Jawa Tengah,-6.9900094,110.4294228,convenience,,2398142244,node
Alfamart,,Pangandaran,Jawa Barat,-7.6845783,108.6537832,convenience,,2406592577,node
Alfamart,,Jakarta,DKI Jakarta,-6.220532,106.886394,convenience,,2410698589,node
Alfamart,,Wajo,Sulawesi Selatan,-4.1348209,120.0304947,convenience,,2431811464,node
Alfamart,,Kota Bogor,Jawa Barat,-6.5270458,106.8405671,convenience,,2468726830,node
